City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,palmer,42.16,-72.33,55.0,76,1,0.83,US,1604881216
158,nyurba,63.28,118.33,-1.17,90,39,4.97,RU,1604881216
159,kerema,-7.96,145.78,84.36,72,98,8.81,PG,1604881216
160,butaritari,3.07,172.79,81.61,65,49,7.76,KI,1604881216
161,bethel,41.37,-73.41,60.01,66,1,2.06,US,1604881217
162,nha trang,12.25,109.18,77.0,88,75,12.75,VN,1604881217
163,castelo do piaui,-5.32,-41.55,86.61,35,23,4.34,BR,1604881217
164,bauchi,10.5,10.0,71.33,32,21,4.32,NG,1604881217
165,bambous virieux,-20.34,57.76,73.4,88,40,14.52,MU,1604881217
166,la trinidad,16.45,120.59,67.8,93,98,2.95,PH,1604881217
167,hobyo,5.35,48.53,80.08,82,70,12.84,SO,1604881217
168,nokaneng,-19.67,22.27,78.06,45,100,3.89,BW,1604881218
169,havoysund,71.0,24.66,37.4,93,75,29.97,NO,1604881218
170,beringovskiy,63.05,179.32,19.42,91,11,8.52,RU,1604881218
171,victoria,22.29,114.16,73.99,44,61,1.01,HK,1604880986
172,tuatapere,-46.13,167.68,55.99,73,97,7.0,NZ,1604881218
173,taonan,45.33,122.78,22.84,78,4,5.37,CN,1604881218
174,sovetskiy,61.36,63.58,29.1,98,100,5.39,RU,1604881146
175,ahuimanu,21.44,-157.84,87.8,54,75,13.87,US,1604881218
176,sarangpur,23.57,76.47,60.57,41,0,0.98,IN,1604881218
177,praia,14.92,-23.51,78.8,69,0,14.99,CV,1604881219
178,nabire,-3.37,135.48,83.95,75,97,0.36,ID,1604881219
179,onalaska,43.88,-91.24,70.0,60,1,12.75,US,1604881124
180,traverse city,44.76,-85.62,66.2,68,75,3.36,US,1604881219
181,batagay,67.63,134.63,-28.32,82,5,2.59,RU,1604881219
182,rognan,67.1,15.39,43.0,91,99,5.99,NO,1604881219
183,carutapera,-1.2,-46.02,78.78,82,25,6.49,BR,1604881219
184,grindavik,63.84,-22.43,41.0,86,75,14.99,IS,1604881220
185,morondava,-20.28,44.28,79.88,81,22,7.85,MG,1604881220
186,road town,18.42,-64.62,78.8,88,40,9.17,VG,1604881092
187,kathu,7.92,98.33,75.2,100,75,3.36,TH,1604881220
188,sydney,-33.87,151.21,66.0,67,75,3.36,AU,1604880992
189,itaituba,-4.28,-55.98,77.94,88,98,3.11,BR,1604881220
190,key largo,25.09,-80.45,78.01,74,100,18.01,US,1604881220
191,srednekolymsk,67.45,153.68,-5.13,91,93,5.61,RU,1604881220
192,altamont,42.21,-121.74,35.6,43,20,3.36,US,1604881220
193,charters towers,-20.1,146.27,81.75,45,73,17.29,AU,1604881220
194,leningradskiy,69.38,178.42,19.81,95,100,5.1,RU,1604881221
195,castro,-24.79,-50.01,68.72,58,59,6.62,BR,1604881221
196,henties bay,-22.12,14.28,59.0,91,50,12.12,NA,1604881221
197,ostrov,57.34,28.35,32.0,89,0,6.71,RU,1604881221
198,lebu,-37.62,-73.65,52.63,90,0,19.44,CL,1604881221
199,wakkanai,45.41,141.67,37.4,64,75,9.17,JP,1604881221
